SKIVE,remove the surface of
GRAMA,pasture grass of plains of South America and western North America
CREEL,a wicker basket used by anglers to hold fish
TRIPE,lining of the stomach of a ruminant (especially a bovine) used as food
RELIC,an antiquity that has survived from the distant past
GRIPE,informal terms for objecting
SNOWY,marked by the presence of snow
THROE,severe spasm of pain
YEARN,have affection for; feel tenderness for
WREAK,cause to happen or to occur as a consequence
SWOON,a spontaneous loss of consciousness caused by insufficient blood to the brain
DINGY,depressing in character or appearance
WAKEN,cause to become awake or conscious
SLAKE,make less active or intense
SPURT,the occurrence of a sudden discharge (as of liquid)
FORGO,refrain from consuming
SHOAL,a stretch of shallow water
SPURN,reject with contempt
BONNY,very pleasing to the eye
FENNY,[No defintion found.]
ANELE,administer an oil or ointment to ; often in a religious ceremony of blessing
COVET,"wish, long, or crave for (something, especially the property of another person)"
WORDY,use of more words than required to express an idea
THORP,[No defintion found.]
OAKUM,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
BALAS,a pale rose-colored variety of the ruby spinel
OGDEN,a town in northern Utah settled by Mormons
STOKE,stir up or tend; of a fire
BARMY,informal or slang terms for mentally irregular
THULE,the geographical region believed by ancient geographers to be the northernmost land in the inhabited world
WHELP,young of any of various canines such as a dog or wolf
MAUND,a unit of weight used in Asia; has different values in different countries
INPUT,signal going into an electronic system
SPALL,a fragment broken off from the edge or face of stone or ore and having at least one thin edge
QUERN,a primitive stone mill for grinding corn by hand
COMBE,[No defintion found.]
CYNIC,someone who is critical of the motives of others
WROTH,vehemently incensed and condemnatory
TROTH,a solemn pledge of fidelity
RUDDY,inclined to a healthy reddish color often associated with outdoor life
SOUSE,pork trimmings chopped and pickled and jelled
WODEN,chief god; counterpart of Norse Odin and Teutonic Wotan
SPLAY,an outward bevel around a door or window that makes it seem larger
EMEND,make improvements or corrections to
DIGHT,[No defintion found.]
INGOT,a block of metal that is cast in a particular shape for convenient handling
LUCRE,informal terms for money
BESOT,make dull or stupid or muddle with drunkenness or infatuation
NEWLY,very recently
EAGRE,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)
SPRAT,small fatty European fish; usually smoked or canned like sardines
LEPER,a pariah who is avoided by others
FLITE,[No defintion found.]
SLINK,walk stealthily
CHIRK,"make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird"
DIZEN,dress up garishly and tastelessly
POULT,[No defintion found.]
TRYST,a date; usually with a member of the opposite sex
WOOER,a man who courts a woman
BEAMY,broad in the beam
GULCH,a narrow gorge with a stream running through it
ELGAR,British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)
MISDO,do wrongly or improperly
WEALD,an area of open or forested country
SPRIT,a light spar that crosses a fore-and-aft sail diagonally
FUROR,a sudden outburst (as of protest)
OUTGO,money paid out
WAXEN,made of or covered with wax
MILCH,giving milk; bred or suitable primarily for milk production
QUOIT,game equipment consisting of a ring of iron or circle of rope used in the game of quoits
MAZER,a large hardwood drinking bowl
FRORE,very cold
PRINK,dress very carefully and in a finicky manner
EMMET,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
VARIX,abnormally enlarged or twisted blood vessel or lymphatic vessel
SMOLT,[No defintion found.]
HAULM,stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
TILTH,the state of aggregation of soil and its condition for supporting plant growth
PURSY,breathing laboriously or convulsively
WAKER,a person who awakes
HOTLY,in a heated manner
DRAFF,[No defintion found.]
OFFAL,viscera and trimmings of a butchered animal often considered inedible by humans
QUEAN,[No defintion found.]
SIRUP,a thick sweet sticky liquid
BIRLE,cause a floating log to rotate by treading
WHELK,large carnivorous marine gastropods of coastal waters and intertidal regions having a strong snail-like shell
CRUSE,small jar; holds liquid (oil or water)
BUXOM,euphemisms for slightly fat
SHIDE,[No defintion found.]
SEDUM,any of various plants of the genus Sedum
KEMPT,(used of hair) neat and tidy
KNURL,[No defintion found.]
LOSEL,[No defintion found.]
OXLIP,Eurasian primrose with yellow flowers clustered in a one-sided umbel
STIRK,yearling heifer or bullock
OUZEL,common black European thrush
FROSH,[No defintion found.]
ORLOP,the fourth or lowest deck
BROCK,[No defintion found.]
WRACK,dried seaweed especially that cast ashore
LADLE,a spoon-shaped vessel with a long handle; used to transfer liquids
NAVEL,scar where the umbilical cord was attached
FEMME,[No defintion found.]
THOLE,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
HUSSY,a woman adulterer
PLEAT,any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
NONCE,the present occasion
SOUGH,introduce into an environment
SCRUB,the act of cleaning a surface by rubbing it with a brush and soap and water
CHURL,a bad-tempered person
WREST,"obtain by seizing forcibly or violently, also metaphorically"
GRIST,grain intended to be or that has been ground
WHARF,a platform built out from the shore into the water and supported by piles; provides access to ships and boats
PRATE,idle or foolish and irrelevant talk
PEONY,any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
FLACK,artillery designed to shoot upward at airplanes
WHOOP,a loud hooting cry of exultation or excitement
LOUSE,wingless usually flattened blood-sucking insect parasitic on warm-blooded animals
FELLY,rim (or part of the rim) into which spokes are inserted
PLEAD,appeal or request earnestly
SHEAF,a package of several things tied together for carrying or storing
GLEAN,"gather, as of natural products"
SHRED,a tiny or scarcely detectable amount
WONKY,inclined to shake as from weakness or defect
BEDEW,cover with drops of dew or as with dew
FLAIL,an implement consisting of handle with a free swinging stick at the end; used in manual threshing
DOWEL,a fastener that is inserted into holes in two adjacent pieces and holds them together
WIZEN,lean and wrinkled by shrinkage as from age or illness
THILL,one of two shafts extending from the body of a cart or carriage on either side of the animal that pulls it
TWILL,a cloth with parallel diagonal lines or ribs
DAUNT,cause to lose courage
SPEND,pay out
CHIDE,censure severely or angrily
SURGE,a sudden or abrupt strong increase
BURLY,muscular and heavily built
KEATS,Englishman and Romantic poet (1795-1821)
STUMP,(cricket) any of three upright wooden posts that form the wicket
DROSS,worthless material that should be removed
SHEER,cause to sheer
TAWNY,of a light brown to brownish orange color
GAVEL,a small mallet used by a presiding officer or a judge
SWOOP,a swift descent through the air
LOFTY,of imposing height; especially standing out above others
REFER,have to do with or be relevant to
STONY,showing unfeeling resistance to tender feelings
STINK,a distinctive odor that is offensively unpleasant
THRUM,a thrumming sound
SKEIN,coils of worsted yarn
BESOM,a broom made of twigs tied together on a long handle
WIELD,of power or authority
FLECK,a small fragment of something broken off from the whole
SPELT,hardy wheat grown mostly in Europe for livestock feed
ENACT,act out; represent or perform as if in a play
TRAVE,a horizontal beam that extends across something
FLANK,the side between ribs and hipbone
STILE,an upright that is a member in a door or window frame
ALOUD,using the voice; not silently
PARRY,a return punch (especially by a boxer)
FRITH,[No defintion found.]
STINT,an individuals prescribed share of work
SEIZE,affect
FORAY,an initial attempt (especially outside your usual areas of competence)
INLET,an arm off of a larger body of water (often between rocky headlands)
WHELM,"overcome, as with emotions or perceptual stimuli"
BIGHT,the middle part of a slack rope (as distinguished from its ends)
SNIPE,a gunshot from a concealed location
GAUNT,very thin especially from disease or hunger or cold
LIKEN,"consider or describe as similar, equal, or analogous"
SCOUR,a place that is scoured (especially by running water)
WATTS,English poet and theologian (1674-1748)
OAKEN,consisting of or made of wood of the oak tree
SEINE,"a large fishnet that hangs vertically, with floats at the top and weights at the bottom"
SOOTH,truth or reality
ACOLD,of persons; feeling cold
SIDLE,move sideways
REAVE,steal goods; take as spoils
REPEL,force or drive back
VIGIL,a devotional watch (especially on the eve of a religious festival)
EGRET,any of various usually white herons having long plumes during breeding season
CHARE,[No defintion found.]
SWALE,[No defintion found.]
DOWER,a life estate to which a wife is entitled on the death of her husband
CHURN,a vessel in which cream is agitated to separate butterfat from buttermilk
FILCH,make off with belongings of others
SPECK,a very small spot
WEEDS,a black garment (dress) worn by a widow as a sign of mourning
ADOWN,[No defintion found.]
MANSE,the residence of a clergyman (especially a Presbyterian clergyman)
ELFIN,small and delicate
QUELL,overcome or allay
SHERD,a broken piece of a brittle artifact
INSET,a small picture inserted within the bounds or a larger one
HAUGH,[No defintion found.]
INKLE,a linen tape used for trimming as a decoration
PLASH,the sound like water splashing
CRIMP,a lock of hair that has been artificially waved or curled
GORSE,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
HEADY,extremely exciting as if by alcohol or a narcotic
SPANG,"leap, jerk, bang"
SCULL,a racing shell propelled by one or two oarsmen pulling two oars
SPOKE,support consisting of a radial member of a wheel joining the hub to the rim
FLAIR,a natural talent
THONG,a thin strip of leather; often used to lash things together
FAINT,a spontaneous loss of consciousness caused by insufficient blood to the brain
HAYES,19th President of the United States; his administration removed federal troops from the South and so ended the Reconstruction Period (1822-1893)
BREED,a lineage or race of people
BOAST,speaking of yourself in superlatives
GRAFT,the act of grafting something onto something else
GLAZE,"coating for fabrics, ceramics, metal, etc."
ANVIL,a heavy block of iron or steel on which hot metals are shaped by hammering
HAUNT,a frequently visited place
EERIE,suggestive of the supernatural; mysterious
STARK,complete or extreme
GRIND,the act of grinding to a powder or dust
GROUT,a thin mortar that can be poured and used to fill cracks in masonry or brickwork
GAUGE,a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
KNOWN,apprehended with certainty
BLOWN,being moved or acted upon by moving air or vapor
GLADE,a tract of land with few or no trees in the middle of a wooded area
SHIFT,the act of moving from one place to another
SEVER,set or keep apart
SHOVE,the act of shoving (giving a push to someone or something)
LATCH,catch for fastening a door or gate; a bar that can be lowered or slid into a groove
CLING,fruit (especially peach) whose flesh adheres strongly to the pit
FLUSH,a sudden rapid flow (as of water)
SHANK,a poor golf stroke in which the heel of the club hits the ball
CLASP,the act of grasping
MOUND,structure consisting of an artificial heap or bank usually of earth or stones
SPAWN,the mass of eggs deposited by fish or amphibians or molluscs
RHINE,a major European river carrying more traffic than any other river in the world; flows into the North Sea
ROUSE,become active
CHIVE,perennial having hollow cylindrical leaves used for seasoning
DUSTY,covered with a layer of dust
FRISK,the act of searching someone for concealed weapons or illegal drugs
FLEET,a group of warships organized as a tactical unit
LEASE,a contract granting use or occupation of property during a specified time for a specified payment
STRAY,homeless cat
BOWER,a framework that supports climbing plants
STERN,the rear part of a ship
VOMIT,the reflex act of ejecting the contents of the stomach through the mouth
GRAZE,the act of grazing
CLOVE,spice from dried unopened flower bud of the clove tree; used whole or ground
CROUP,a disease of infants and young children; harsh coughing and hoarseness and fever and difficult breathing
CHINE,backbone of an animal
BORAX,an ore of boron consisting of hydrated sodium borate; used as a flux or cleansing agent
SIEVE,a strainer for separating lumps from powdered material or grading particles
SHIRE,British breed of large heavy draft horse
LUSTY,vigorously passionate
CROAK,a harsh hoarse utterance (as of a frog)
WENCH,informal terms for a (young) woman
JOUST,a combat between two mounted knights tilting against each other with blunted lances
FELON,a purulent infection at the end of a finger or toe in the area surrounding the nail
TRAMP,a heavy footfall
HASTE,the act of moving hurriedly and in a careless manner
STEED,(literary) a spirited horse for state or war
SIEGE,the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
SWEEP,a movement in an arc
KNEAD,make uniform
BEGET,make children
WHISK,a small short-handled broom used to brush clothes
SWELL,a crescendo followed by a decrescendo
ASKER,someone who asks a question
STEER,castrated bull
NAKED,devoid of elaboration or diminution or concealment; bare and pure
GRIME,the state of being covered with unclean things
TREAD,structural member consisting of the horizontal part of a stair or step
STEAD,the function or position properly or customarily occupied or served by another
SWEAR,promise solemnly; take an oath
ADMIT,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
BOSOM,cloth that covers the chest or breasts
DONOR,person who makes a gift of property
ENDOW,furnish with an endowment
FLOUT,treat with contemptuous disregard
BRAWN,muscular strength
ABAFT,at or near or toward the stern of a ship or tail of an airplane
WAIVE,do without or cease to hold or adhere to
SMOCK,a loose coverall (coat or frock) reaching down to the ankles
STORK,large mostly Old World wading birds typically having white-and-black plumage
CRAZE,a fine crack in a glaze or other surface
SMITE,"inflict a heavy blow on, with the hand, a tool, or a weapon"
STOUT,a garment size for a large or heavy person
SNARL,an angry vicious expression
SQUAT,the act of assuming or maintaining a squatting position
CHAFF,foil in thin strips; ejected into the air as a radar countermeasure
GNASH,"grind together, of teeth"
MARSH,low-lying wet land with grassy vegetation; usually is a transition zone between land and water
GORGE,a deep ravine (usually with a river running through it)
CLUCK,the sound made by a hen (as in calling her chicks)
BEECH,any of several large deciduous trees with rounded spreading crowns and smooth gray bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
HENCE,from this time
CRANK,a hand tool consisting of a rotating shaft with parallel handle
BELAY,something to which a mountain climber's rope can be secured
AWAIT,look forward to the probable occurrence of
CRUDE,a dark oil consisting mainly of hydrocarbons
FEIST,a nervous belligerent little mongrel dog
WEAVE,pattern of weaving or structure of a fabric
HOVEL,small crude shelter used as a dwelling
SCANT,limit in quality or quantity
PSALM,any sacred song used to praise the Deity
FROCK,a one-piece garment for a woman; has skirt and bodice
DRAPE,a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination
KNOLL,a small natural hill
THANK,express gratitude or show appreciation to
FORTH,out into view
BLEAK,unpleasantly cold and damp
WEIGH,to be oppressive or burdensome
CRACK,a usually brief attempt
CHAFE,soreness and warmth caused by friction
DIZZY,make dizzy or giddy
CAMEL,cud-chewing mammal used as a draft or saddle animal in desert regions
ALDER,north temperate shrubs or trees having toothed leaves and conelike fruit; bark is used in tanning and dyeing and the rot-resistant wood
CHOKE,a valve that controls the flow of air into the carburetor of a gasoline engine
ANNOY,"cause annoyance in; disturb, especially by minor irritations"
TRUNK,luggage consisting of a large strong case used when traveling or for storage
EXILE,the act of expelling a person from their native land
RUMOR,gossip (usually a mixture of truth and untruth) passed around by word of mouth
DOVER,the capital of the state of Delaware
GUILD,a formal association of people with similar interests
STUFF,unspecified qualities required to do or be something
LINEN,white goods or clothing made with linen cloth
BRINK,the edge of a steep place
ADDLE,mix up or confuse
WAYNE,American general during the American Revolution (1745-1796)
TUTOR,a person who gives private instruction (as in singing or acting)
CLOUT,a target used in archery
ARMOR,tough more-or-less rigid protective covering of an animal or plant
LODGE,any of various native American dwellings
FILTH,a state characterized by foul or disgusting dirt and refuse
DROVE,a stonemason's chisel with a broad edge for dressing stone
GUILT,remorse caused by feeling responsible for some offence
HEAVE,throwing something heavy (with great effort)
SHOOT,the act of shooting at targets
COUTH,used facetiously
PURGE,an act of removing by cleansing; ridding of sediment or other undesired elements
STARE,a fixed look with eyes open wide
STEEP,a steep place (as on a hill)
INNER,innermost or essential
CRUEL,lacking or showing kindness or compassion or mercy
KNACK,a special way of doing something
CHALK,a piece of chalk (or similar substance) used for writing on blackboards or other surfaces
PROWL,the act of prowling (walking about in a stealthy manner)
SNORT,a disrespectful laugh
AMUSE,"occupy in an agreeable, entertaining or pleasant fashion"
SHIRT,a garment worn on the upper half of the body
FERRY,transport by boat or aircraft
GLOOM,a feeling of melancholy apprehension
TOWEL,a rectangular piece of absorbent cloth (or paper) for drying or wiping
CRAMP,a strip of metal with ends bent at right angles; used to hold masonry together
SHEET,bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
SWARM,a group of many insects
THANE,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land)
SWAMP,low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
RAISE,increasing the size of a bet (as in poker)
DAIRY,a farm where dairy products are produced
PINCH,a squeeze with the fingers
BATHE,the act of swimming
CREED,any system of principles or beliefs
ADORN,be beautiful to look at
CATER,supply food ready to eat; for parties and banquets
STALL,a tactic used to mislead or delay
FINCH,any of numerous small songbirds with short stout bills adapted for crushing seeds
AVAIL,a means of serving
STEAL,a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)
SMEAR,a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
WYATT,English poet who introduced the sonnet form to English literature (1503-1542)
HERON,gray or white wading bird with long neck and long legs and (usually) long bill
CLIVE,British general and statesman whose victory at Plassey in 1757 strengthened British control of India (1725-1774)
DRIFT,a horizontal (or nearly horizontal) passageway in a mine
MINCE,food chopped into small bits
STEAM,water at boiling temperature diffused in the atmosphere
STOLE,a wide scarf worn about their shoulders by women
CROFT,a small farm worked by a crofter
UDDER,mammary gland of bovids (cows and sheep and goats)
CLERK,"an employee who performs clerical work (e.g., keeps records or accounts)"
SHARD,a broken piece of a brittle artifact
WELSH,Welsh breed of dual-purpose cattle
SCOFF,showing your contempt by derision
FRIAR,a male member of a religious order that originally relied soley on alms
GUILE,the quality of being crafty
DELAY,the act of delaying; inactivity resulting in something being put off until a later time
BASIN,a bowl-shaped vessel; usually used for holding food or liquids
FLAKE,a crystal of snow
DWELL,make one's home or live in
STUNT,a difficult or unusual or dangerous feat; usually done to gain attention
GUESS,an estimate based on little or no information
TENTH,position ten in a countable series of things
BRAWL,a noisy fight in a crowd
FLASK,bottle that has a narrow neck
BROIL,cooking by direct exposure to radiant heat (as over a fire or under a grill)
SLIMY,covered with or resembling slime
YIELD,an amount of a product
CRUMB,small piece of e.g. bread or cake
HELVE,the handle of a weapon or tool
BRANT,small dark geese that breed in the north and migrate southward
NYMPH,a larva of an insect with incomplete metamorphosis (as the dragonfly or mayfly)
MERIT,any admirable quality or attribute
BRAID,trimming used to decorate clothes or curtains
WRATH,belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)
FRAME,one of a series of still transparent photographs on a strip of film used in making movies
WIDOW,a woman whose husband is dead especially one who has not remarried
RIVEN,[No defintion found.]
REGAL,belonging to or befitting a supreme ruler
ALIGN,align with; be or come into adjustment
CHARY,characterized by great cautious and wariness
STALE,"urinate, of cattle and horses"
MOOCH,ask for and get free; be a parasite
TWAIN,two items of the same kind
NEEDY,poor enough to need help from others
SWINE,stout-bodied short-legged omnivorous animals
SINGE,a surface burn
BOTCH,an embarrassing mistake
FIERY,like or suggestive of fire
KNEEL,supporting yourself on your knees
THROW,the act of throwing (propelling something through the air with a rapid movement of the arm and wrist)
BELIE,be in contradiction with
CANNY,showing self-interest and shrewdness in dealing with others
COLLY,"make soiled, filthy, or dirty"
SPITE,malevolence by virtue of being malicious or spiteful or nasty
BLEAT,the sound of sheep or goats (or any sound resembling this)
BRASS,a wind instrument that consists of a brass tube (usually of variable length) blown by means of a cup-shaped or funnel-shaped mouthpiece
PLUCK,the act of pulling and releasing a taut cord
VIXEN,a malicious fierce-tempered woman
GROIN,the crease at the junction of the inner part of the thigh with the trunk together with the adjacent region and often including the external genitals
QUALM,uneasiness about the fitness of an action
DROOP,a shape that sags
FLUKE,parasitic flatworms having external suckers for attaching to a host
MULCH,a protective covering of rotting vegetable matter spread to reduce evaporation and soil erosion
GRUNT,medium-sized tropical marine food fishes that utter a grunting sound when caught
ANENT,[No defintion found.]
THEFT,the act of taking something from someone unlawfully
SWARD,surface layer of ground containing a matt of grass and grass roots
RINSE,washing lightly without soap
LITHE,gracefully slender; moving and bending with ease
SWATH,a path or strip (as cut by one course of mowing)
WITHE,band or rope made of twisted twigs or stems
STRAP,whip consisting of a strip of leather used in flogging
AVENS,any of various perennials of the genus Geum having usually pinnate basal leaves and variously colored flowers
ERROR,(baseball) a failure of a defensive player to make an out when normal play would have sufficed
SNOOD,an ornamental net in the shape of a bag that confines a woman's hair; pins or ties at the back of the head
BRIAR,a pipe made from the root (briarroot) of the tree heath
SWART,naturally having skin of a dark color
TAPER,the property possessed by a shape that narrows toward a point (as a wedge or cone)
TRUCE,a state of peace agreed to between opponents so they can discuss peace terms
MIDGE,minute two-winged mosquito-like fly lacking biting mouthparts; appear in dancing swarms especially near water
GREET,be perceived by
PRONG,a pointed projection
WRING,a twisting squeeze
ABYSM,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
SEDGE,"grasslike or rushlike plant growing in wet places having solid stems, narrow grasslike leaves and spikelets of inconspicuous flowers"
LATHE,machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
FRIZZ,curl tightly
BLATE,cry plaintively
MIRTH,great merriment
STRUT,a proud stiff pompous gait
CREAK,a squeaking sound
BELCH,a reflex that expels wind noisily from the stomach through the mouth
WHIST,a card game for four players who form two partnerships; a pack of 52 cards is dealt and each side scores one point for each trick it takes in excess of six
STAIR,support consisting of a place to rest the foot while ascending or descending a stairway
MOURN,feel sadness
MYRRH,aromatic resin burned as incense and used in perfume
LOATH,unwillingness to do something contrary to your custom
SHEAR,a large edge tool that cuts sheet metal by passing a blade through it
HUTCH,a cage (usually made of wood and wire mesh) for small animals
SAXON,a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman conquest
HURST,[No defintion found.]
TRIBE,(biology) a taxonomic category between a genus and a subfamily
QUILL,a stiff hollow protective spine on a porcupine or hedgehog
LEECH,carnivorous or bloodsucking aquatic or terrestrial worms typically having a sucker at each end
ROOST,a perch on which domestic fowl rest or sleep
MANNA,hardened sugary exudation of various trees
FEIGN,make believe with the intent to deceive
REVEL,unrestrained merrymaking
STALK,a stiff or threatening gait
CLACK,a sharp abrupt noise as if two objects hit together; may be repeated
STREW,cover; be dispersed over
SHRUB,a low woody perennial plant usually having several major branches
RETCH,an involuntary spasm of ineffectual vomiting
SLEET,partially melted snow (or a mixture of rain and snow)
SNEAK,someone who prowls or sneaks about; usually with unlawful intentions
GULLY,deep ditch cut by running water (especially after a prolonged downpour)
WITTY,combining clever conception and facetious expression
CLEAT,a strip of wood or metal used to strengthen the surface to which it is attached
SINEW,a cord or band of inelastic tissue connecting a muscle with its bony attachment
TARRY,leave slowly and hesitantly
SHALE,a sedimentary rock formed by the deposition of successive layers of clay
KNAVE,one of four face cards in a deck bearing a picture of a young prince
PRATT,[No defintion found.]
GROAT,a former English silver coin worth four pennies
NETTY,creating netting
LEEDS,a city on the River Aire in West Yorkshire in northern England; a center of the clothing industry
LEACH,the process of leaching
CUBBY,a small secluded room
FLUME,watercourse that consists of an open artificial chute filled with water for power or for carrying logs
DOWRY,money or property brought by a woman to her husband at marriage
SMELT,small trout-like silvery marine or freshwater food fishes of cold northern waters
GUISE,an artful or simulated semblance
SPUNK,the courage to carry on
MIXED,involving or composed of different races
SHITE,obscene terms for feces
GLIDE,the activity of flying a glider
DEIGN,do something that one considers to be below one's dignity
CHORE,a specific piece of work required to be done as a duty or for a specific fee
BAIRN,a child: son or daughter
EDWIN,king of Northumbria who was converted to Christianity (585-633)
GIDDY,having or causing a whirling sensation; liable to falling
COVEN,an assembly of witches; usually 13 witches
BERTH,a bed on a ship or train; usually in tiers
ABACK,by surprise
UPSET,the act of upsetting something
GRAVE,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
SHAFT,a long rod or pole (especially the handle of an implement or the body of a weapon like a spear or arrow)
BYRON,English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
CRESS,pungent leaves of any of numerous cruciferous herbs
LIMIT,the greatest possible degree of something
DELVE,"turn up, loosen, or remove earth"
QUAKE,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
PROVE,be shown or be found to be
ARISE,originate or come into being
FIFTH,the musical interval between one note and another five notes away from it
SPILL,a sudden drop from an upright position
RIFLE,a shoulder firearm with a long barrel and a rifled bore
ALLAY,lessen the intensity of or calm
WOUND,the act of inflicting a wound
WRECK,a ship that has been destroyed at sea
ALIKE,in a like manner
STAMP,a block or die used to imprint a mark or design
SATAN,(Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell
AMAZE,affect with wonder
AWAKE,stop sleeping
