SKIVE,remove the surface of
SHAKE,grasping and shaking a person's hand (as to acknowledge an introduction or to agree on a contract)
VITAL,manifesting or characteristic of life
ADIEU,a farewell remark
SHREW,small mouselike mammal with a long snout; related to moles
SHALL,[No defintion found.]
THIGH,the part of the leg between the hip and the knee
ABHOR,find repugnant
CROOK,a long staff with one end being hook shaped
DRAFT,the act of moving a load by drawing or pulling
BIRCH,bundle of birch twigs used to hit people as punishment
THICK,the location of something surrounded by other things
SNARE,a trap for birds or small mammals; often has a noose
LEARN,acquire or gain knowledge or skills
MANGE,a persistent and contagious disease of the skin causing inflammation and itching and loss of hair; affects domestic animals (and sometimes people)
TATUM,United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)
CURSE,profane or obscene expression usually of surprise or anger
BRINE,a strong solution of salt and water used for pickling
GRILL,a framework of metal bars used as a partition or a grate
ARBOR,a framework that supports climbing plants
CRAVE,plead or ask for earnestly
CRAWL,a slow creeping mode of locomotion (on hands and knees or dragging the body)
AUGHT,a quantity of no importance
THUMB,the part of a glove that provides a covering for the thumb
ENJOY,have for one's benefit
CRUSH,the act of crushing
CHOIR,the area occupied by singers; the part of the chancel between sanctuary and nave
BUILD,constitution of the human body
BURST,a sudden flurry of activity (often for no obvious reason)
SPEAK,make a characteristic or natural sound
TRUMP,a playing card in the suit that has been declared trumps
GRASP,a firm controlling influence
HEATH,a tract of level wasteland; uncultivated land with sandy soil and scrubby vegetation
ATONE,turn away from sin or do penitence
TALLY,a score in baseball made by a runner touching all four bases safely
ELBOW,the joint of a mammal or bird that corresponds to the human elbow
BLESS,confer prosperity or happiness on
STOOL,a simple seat without a back or arms
ROVER,an adult member of the Boy Scouts movement
BLUSH,sudden reddening of the face (as from embarrassment or guilt or shame or modesty)
LEASH,restraint consisting of a rope (or light chain) used to restrain an animal
HURRY,a condition of urgency making it necessary to hurry
PRICK,the act of puncturing with a small point
BLEND,the act of blending components together thoroughly
EAVES,the overhang at the lower edge of a roof
STEEL,knife sharpener consisting of a ridged steel rod
HOVER,move to and fro
STIFF,an ordinary man
WRITE,communicate or express by writing
SLIME,any thick messy substance
ALARM,a device that signals the occurrence of some undesirable event
TRACE,either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
CHEAP,relatively low in price or charging low prices
ONSET,the beginning or early stages
DREAD,fearful expectation or anticipation
SYRUP,a thick sweet sticky liquid
PREEN,dress or groom with elaborate care
HARSH,extremely unkind or cruel
GROSS,the entire amount of income before any deductions are made
DWARF,a person who is abnormally small
DALLY,behave carelessly or indifferently
CLOTH,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
CROCK,an earthen jar (made of baked clay)
SWIFT,small plain-colored bird that resembles a swallow and is noted for its rapid flight
TRILL,a note that alternates rapidly with another note a semitone above it
GRAVY,basically the juices that drip from cooking meats
BROTH,a thin soup of meat or fish or vegetable stock
WHOLE,an assemblage of parts that is regarded as a single entity
ROAST,a piece of meat roasted or for roasting and of a size for slicing into more than one portion
SHAVE,the act of removing hair with a razor
ARRAY,an arrangement of aerials spaced to give desired directional characteristics
SAINT,person of exceptional holiness
WAIST,the narrowing of the body between the ribs and hips
AMONG,[No defintion found.]
BROOD,the young of an animal cared for at one time
FREAK,a person or animal that is markedly unusual or deformed
BLAND,lacking either stimulating or irritating characteristics
AVOID,refrain from doing something
SPADE,a sturdy hand shovel that can be pushed into the earth with the foot
SPIRE,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top
ROUGH,the part of a golf course bordering the fairway where the grass is not cut short
PRICE,the high value or worth of something
SMELL,the act of perceiving the odor of something
FRESH,(of a cycle) beginning or occurring again
STORE,a supply of something available for future use
GROVE,garden consisting of a small cultivated wood without undergrowth
SENSE,the faculty through which the external world is apprehended
CHEST,box with a lid; used for storage; usually large and sturdy
FANCY,fancy was held by Coleridge to be more casual and superficial than imagination
BRADY,United States financier noted for his love of diamonds and his extravagant lifestyle (1856-1917)
MATCH,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
SHEEP,woolly usually horned ruminant mammal related to the goat
PRIDE,unreasonable and inordinate self-esteem (personified as one of the deadly sins)
PERRY,a fermented and often effervescent beverage made from juice of pears; similar in taste to hard cider
JUICE,any of several liquids of the body
LEVEL,indicator that establishes the horizontal when a bubble is centered in a tube of liquid
FLAME,the process of combustion of inflammable materials producing heat and light and (often) smoke
OFFER,something offered (as a proposal or bid)
TWIST,turning or twisting around (in place)
BOUGH,any of the larger branches of a tree
MAPLE,any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone
JOLLY,a happy party
HINGE,a joint that holds two parts together so that one can swing relative to the other
PROUD,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
PAINT,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
PRESS,the act of pressing; the exertion of pressure
PATCH,a piece of cloth used as decoration or to mend or cover a hole
MERCY,alleviation of distress; showing great kindness toward the distressed
BAKER,someone who bakes bread or cake
BROOM,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
STOCK,the merchandise that a shop has on hand
STING,a painful wound caused by the thrust of an insect's stinger into skin
FABLE,a short moral story (often with animal characters)
BENCH,a long seat for more than one person
BRAND,a recognizable kind
OTTER,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
GOOSE,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
OUGHT,[No defintion found.]
SLOTH,apathy and inactivity in the practice of virtue (personified as one of the deadly sins)
EAGER,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)
SERVE,(sports) a stroke that puts the ball in play
COVER,fire that makes it difficult for the enemy to fire on your own individuals or formations
FLOOR,the inside lower horizontal surface (as of a room or hallway)
NOISE,incomprehensibility resulting from irrelevant information or meaningless facts or remarks
TRADE,the skilled practice of a practical occupation
DRAIN,emptying accomplished by draining
SHORE,a beam or timber that is propped against a structure to provide support
THIEF,a criminal who takes property belonging to someone else with the intention of keeping it or selling it
EMPTY,a container that has been emptied
PUNCH,(boxing) a blow with the fist
ABUSE,a rude expression intended to offend or hurt
GROOM,a man who has recently been married
EBONY,tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork
WASTE,useless or profitless activity; using or expending or consuming thoughtlessly or carelessly
SHAPE,the spatial arrangement of something as distinct from its substance
ABBOT,the superior of an abbey of monks
MARRY,take in marriage
MOIST,slightly wet
SWEAT,condensation of moisture on a cold surface
STAIN,a soiled or discolored appearance
CRANE,large long-necked wading bird of marshes and plains in many parts of the world
NINTH,position nine in a countable series of things
NOBLE,a titled peer of the realm
HATCH,a movable barrier covering a hatchway
ENEMY,any hostile group of people
PORCH,a structure attached to the exterior of a building often forming a covered entrance
CHICK,young bird especially of domestic fowl
DITCH,a long narrow excavation in the earth
ACORN,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
SMOKE,the act of smoking tobacco or other substances
ANGRY,feeling or showing anger
RIDGE,a beam laid along the ridge of a roof; provides attachment for upper end of rafters
SABLE,marten of northern Asian forests having luxuriant dark brown fur
LAYER,thin structure composed of a single thickness of cells
BRING,take something or somebody with oneself somewhere
HOBBY,small Old World falcon formerly trained and flown at small birds
PROOF,a trial photographic print from a negative
WHILE,a period of indeterminate length (usually short) marked by some action or condition
SHAME,a painful emotion resulting from an awareness of inadequacy or guilt
SLICE,a golf shot that curves to the right for a right-handed golfer
HAZEL,the fine-grained wood of a hazelnut tree (genus Corylus) and the hazel tree (Australian genus Pomaderris)
MERRY,quick and energetic
TOUGH,a cruel and brutal fellow
FLOAT,something that remains on the surface of a liquid
SPEED,changing location rapidly
STILL,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed
THORN,a Germanic character of runic origin
SWORD,a cutting or thrusting weapon with a long blade
BRIDE,a woman who has recently been married
TWEAK,a squeeze with the fingers
BLOOM,a rosy color (especially in the cheeks) taken as a sign of good health
SANDY,abounding in sand
CLIFF,a steep high face of rock
UTTER,put into circulation
BROOK,a natural stream of water smaller than a river (and often a tributary of a river)
STRAW,a thin paper or plastic tube used to such liquids into the mouth
SALVE,anything that remedies or heals or soothes
CHILL,coldness due to a cold environment
REIGN,royal authority; the dominion of a monarch
ABASH,cause to be embarrassed; cause to feel self-conscious
FLOCK,a group of birds
FLASH,a lamp for providing momentary light to take a photograph
ANKLE,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
BLIND,something that keeps things out or hinders sight
BLAME,a reproach for some lapse or misdeed
SKILL,ability to produce solutions in some problem domain
WEARY,get tired of something or somebody
DRONE,stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
JOINT,marijuana leaves rolled into a cigarette for smoking
JEANS,[No defintion found.]
ABASE,cause to feel shame; hurt the pride of
DOUBT,uncertainty about the truth or factuality of existence of something
HAVEN,a shelter serving as a place of safety or sanctuary
TIGHT,of such close construction as to be impermeable
TEASE,the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
CROWD,a large number of things or people considered together
FLESH,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
BLADE,the flat part of a tool or weapon that (usually) has a cutting edge
BLAZE,a light-colored marking
CRASH,the act of colliding with something
CLAIM,demand for something as rightful or due
SIREN,eel-like aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills
SHARP,a long thin sewing needle with a sharp point
DUTCH,the West Germanic language of the Netherlands
DRAKE,adult male of a wild or domestic duck
MOUNT,mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
BLEED,get or extort (money or other possessions) from someone
SHADE,protective covering that protects something from direct sunlight
GROWL,the sound of growling (as made by animals)
CABIN,the enclosed compartment of an aircraft or spacecraft where passengers are carried
WEDGE,something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them
CREEP,a pen that is fenced so that young animals can enter but adults cannot
PIECE,a separate part of a whole
BLISS,a state of extreme happiness
FETCH,be sold for a certain price
TREND,the popular taste at a given time
PRIZE,something given for victory or superiority in a contest or competition or for winning a lottery
BUNCH,any collection in its entirety
EDGAR,the younger brother of Edwy who became king of Northumbria when it renounced Edwy; on Edwy's death he succeeded to the throne of England (944-975)
WHEAT,grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour
CREST,a showy growth of e.g. feathers or skin on the head of a bird or other animal
NIECE,a daughter of your brother or sister
DEPTH,degree of psychological or intellectual depth
SPEAR,a long pointed rod used as a weapon
CARRY,the act of carrying something
LABEL,trade name of a company that produces musical recordings
GUEST,a visitor to whom hospitality is extended
WHEEL,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
IVORY,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
RANDY,feeling great sexual desire
PITCH,the action or manner of throwing something
BUNNY,(usually informal) especially a young rabbit
COAST,the area within view
TOKEN,a metal or plastic disk that can be used (as a substitute for coins) in slot machines
FAIRY,"small, human in form, playful, having magical powers"
CHIEF,a person who exercises control over workers
SPELL,a verbal formula believed to have magical force
ABBEY,a monastery ruled by an abbot
PANTS,(usually in the plural) underpants worn by women
SLAVE,a person who is owned by someone
BLANK,a cartridge containing an explosive charge but no bullet
HOUND,any of several breeds of dog used for hunting typically having large drooping ears
FAULT,"(sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
MIGHT,physical strength
SINCE,[No defintion found.]
URINE,liquid excretory product
BROAD,slang term for a woman
FEAST,something experienced with great delight
GUIDE,someone who shows the way by leading or advising
AWARE,bearing in mind; attentive to
VERSE,a piece of poetry
SLIDE,the act of moving smoothly along a surface while remaining in contact with it
WHERE,in or at or to what place
ADDER,small terrestrial viper common in northern Eurasia
TASTE,a kind of sensing; distinguishing substances by means of the taste buds
ELDER,a person who is older than you are
LARGE,a garment size for a large person
SNORE,the act of snoring or producing a snoring sound
MISTY,wet with mist
ASPEN,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
POUND,a public enclosure for stray or unlicensed dogs
SCORE,the act of scoring in a game or sport
YEAST,any of various single-celled fungi that reproduce asexually by budding or division
HEDGE,a fence formed by a row of closely planted shrubs or bushes
STAFF,a strong rod or stick with a specialized utilitarian purpose
TWINE,a lightweight cord
THIRD,the musical interval between one note and another three notes away from it
CRISP,a thin crisp slice of potato fried in deep fat
ITALY,a republic in southern Europe on the Italian Peninsula; was the core of the Roman Republic and the Roman Empire between the 4th century BC and the 5th century AD
BATCH,a collection of things or persons to be handled together
ALINE,place in a line or arrange so as to be parallel or straight
ENTER,become a participant; be involved in
SOLAR,relating to or derived from the sun or utilizing the energies of the sun
GRIEF,something that causes great unhappiness
BISON,any of several large shaggy-maned humped bovids having large heads and short horns
CHEEK,either side of the face below the eyes
GYPSY,a member of a nomadic people originating in northern India and now living on all continents
CHEAT,a deception for profit to yourself
BOUND,the line or plane indicating the limit or extent of something
FIEND,one of the evil spirits of traditional Jewish and Christian belief
STUDY,a room used for reading and writing and studying
SPARE,a score in tenpins; knocking down all ten after rolling two balls
PRANK,a ludicrous or grotesque act done for fun and amusement
CLIMB,the act of climbing something
ABYSS,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
SMACK,the act of smacking something; a blow delivered with an open hand
SEVEN,the cardinal number that is the sum of six and one
WORLD,all of your experiences that determine how things appear to you
ABOUT,in the area or vicinity
AGAIN,anew
HEART,a playing card in the major suit of hearts
WATER,a fluid necessary for the life of most animals and plants
HAPPY,experiencing pleasure or joy
SIXTY,the cardinal number that is the product of ten and six
BOARD,a flat piece of material designed for a special purpose
MONTH,a time unit of 30 days
DEATH,the act of killing
GREEN,the property of being green; resembling the color of growing grass
FIFTY,the cardinal number that is the product of ten and five
SOAPY,having the qualities of soap (and liable to slip away)
THREE,the cardinal number that is the sum of one and one and one
HELLO,an expression of greeting
SALTY,one of the four basic taste sensations; like the taste of sea water
MOUTH,the opening of a jar or bottle
WOMAN,an adult female person (as opposed to a man)
DREAM,a state of mind characterized by abstraction and release from reality
APPLE,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
LAUGH,a facial expression characteristic of a person laughing
TIGER,large feline of forests in most of Asia having a tawny coat with black stripes; endangered
FAITH,loyalty or allegiance to a cause or a person
EARTH,the abode of mortals (as contrasted with heaven or hell)
MONEY,wealth reckoned in terms of money
PEACE,a treaty to cease hostilities
SMILE,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
ABATE,become less in amount or intensity
HOUSE,play in which children take the roles of father or mother or children and pretend to interact like adults
ALONE,without anybody else
WATCH,a purposeful surveillance to guard or observe
AFTER,behind or in the rear
WOMEN,[No defintion found.]
STONE,building material consisting of a piece of rock hewn in a definite shape for a special purpose
BLOOD,temperament or disposition
THING,a separate and self-contained entity
LIGHT,any device serving as a source of illumination
COUGH,the act of exhaling air suddenly with a noise
POWER,possession of controlling influence
POINT,sharp end
TODAY,the day that includes the present moment (as opposed to yesterday or tomorrow)
ANGER,a strong emotion; a feeling that is oriented toward some real or supposed grievance
GLORY,brilliant radiant beauty
APRIL,the month following March and preceding May
ABOVE,appearing earlier in the same text
IRISH,the Celtic language of Ireland
BIRTH,the event of being born
OTHER,not the same one or ones already mentioned or implied
GRACE,a disposition to kindness and compassion; benign good will
QUEEN,the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
SMART,a kind of pain such as that caused by a wound or a burn or a sore
KNIFE,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
BLACK,black clothing (worn as a sign of mourning)
TRUTH,a fact that has been verified
TRAIN,public transport provided by a line of railway cars coupled together and drawn by a locomotive
BRAIN,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
UNDER,located below or beneath something else
FRUIT,the consequence of some effort or action
TRUCK,an automotive vehicle suitable for hauling
FIELD,a particular kind of commercial enterprise
BIBLE,a book regarded as authoritative in its field
DANCE,an artistic form of nonverbal communication
VOICE,a means or agency by which something is expressed or communicated
SMITH,someone who works metal (especially by hammering it when it is hot and malleable)
SORRY,feeling or expressing sorrow or pity
LOVER,a person who loves or is loved
NEVER,not ever; at no time in the past or future
METAL,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
PENNY,a coin worth one-hundredth of the value of the basic unit
HONEY,a sweet yellow liquid produced by bees
COLOR,the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
CLOUD,a visible mass of water or ice particles suspended at a considerable altitude
MOUSE,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
BREAD,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
DAILY,a newspaper that is published every day
BEARD,hairy growth on or near the face of certain mammals
ALIVE,having life or vigor or spirit
PLACE,an abstract mental location
WORTH,the quality that renders something desirable or valuable or useful
DRESS,a one-piece garment for a woman; has skirt and bodice
TABLE,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
CROSS,a cross as an emblem of Christianity; used in heraldry
WHITE,(board games) the lighter pieces
CLEAR,the state of being free of suspicion
MARCH,a steady advance
GOING,advancing toward a goal
BELLY,the underpart of the body of certain vertebrates such as snakes or fish
YOUNG,any immature animal
RANGE,a place for shooting (firing or driving) projectiles of various kinds
GREAT,more than usual
SWEET,the taste experience when sugar dissolves in the mouth
BEACH,an area of sand sloping down to the water of a sea or lake
HARRY,"make a pillaging or destructive raid on (a place), as in wartimes"
CLOCK,a timepiece that shows the time of day
PEACH,downy juicy fruit with sweet yellowish or whitish flesh
SOUND,the particular auditory effect produced by a given cause
FEVER,intense nervous anticipation
YOUTH,the freshness and vitality characteristic of a young person
DAISY,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
EAGLE,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
START,a turn to be a starter (in a game at the beginning)
RIGHT,a turn to the right
WITCH,a being (usually female) imagined to have special powers derived from the devil
DOUGH,a flour mixture stiff enough to knead or roll
THINK,an instance of deliberate thinking
IMAGE,an iconic mental representation
CATCH,the act of catching an object with the hands
SLEEP,a natural and periodic state of rest during which consciousness of the world is suspended
BELOW,at a later place
STORM,a direct and violent assault on a stronghold
SILLY,a word used for misbehaving children
BERRY,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
RHYME,correspondence in the sounds of two or more lines (especially final sounds)
LEAVE,permission to do something
WHALE,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
SALLY,a venture off the beaten path
EVERY,[No defintion found.]
ARROW,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow
THERE,a location other than here; that place
BACON,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
ONION,an aromatic flavorful bulb
STICK,threat of a penalty
QUIET,a disposition free from stress or emotion
TOUCH,the act of putting two things together with no space between them
CLEAN,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
LIVER,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
LUCKY,having or bringing good fortune
CHILD,a young person of either sex
GLOVE,handwear: covers the hand and wrist
UNCLE,the brother of your father or mother; the husband of your aunt
SHOUT,a loud utterance; often in protest or opposition
EARLY,very young
BRIAN,[No defintion found.]
OFTEN,many times at short intervals
FIGHT,a boxing match
FORCE,physical energy or intensity
TRUST,the trait of trusting; of believing in the honesty and reliability of others
ANGLE,a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
CRAFT,a vehicle designed for navigation in or on water or air or through outer space
SKULL,the bony skeleton of the head of vertebrates
ORDER,putting in order
SWING,changing location by moving back and forth
DRIVE,the act of applying force to propel something
SHINE,the quality of being bright and sending out rays of light
STAND,a defensive effort
STAGE,a section or portion of a journey or course
EMBER,a hot glowing or smouldering fragment of wood or coal left from a fire
WORRY,a strong feeling of anxiety
RAVEN,large black bird with a straight bill and long wedge-shaped tail
SIGHT,"a optical instrument for aiding the eye in aiming, as on a firearm or surveying instrument"
SHORT,the location on a baseball field where the shortstop is stationed
HORSE,solid-hoofed herbivorous quadruped domesticated since prehistoric times
TROUT,any of various game and food fishes of cool fresh waters mostly smaller than typical salmons
DEVIL,a word used in exclamations of confusion
SPOON,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
GRAND,a piano with the strings on a harp-shaped frame; usually supported by 3 legs
AWARD,a grant made by a law court
QUICK,any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)
CAUSE,a justification for something existing or happening
CLOSE,the concluding part of any performance
SCOUT,someone who can find paths through unexplored territory
SNAIL,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
PURSE,a small bag for carrying money
TEETH,the kind and number and arrangement of teeth (collectively) in a person or animal
SHARE,assets belonging to or due to or contributed by an individual person or group
ALONG,with a forward motion
WORSE,something inferior in quality or condition or effect
REACH,the act of physically reaching or thrusting out
QUACK,the harsh sound of a duck
SHEEN,the visual property of something that shines with reflected light
FIRST,an honours degree of the highest class
COUNT,the act of counting
SHELF,a support that consists of a horizontal surface for holding objects
GRAPE,any of various juicy purple- or green-skinned fruit of the genus Vitis; grow in clusters
DRINK,the act of drinking alcoholic beverages to excess
WRONG,a legal injury is any damage resulting from a violation of a legal right
CREAM,toiletry consisting of any of various substances resembling cream that have a soothing and moisturizing effect when applied to the skin
SNAKE,limbless scaly elongate reptile; some are venomous
HEAVY,a serious (or tragic) role in a play
TOOTH,a means of enforcement
IDIOT,a person of subnormal intelligence
CHAIN,a series of (usually metal) rings or links fitted into one another to make a flexible ligament
BREAK,an escape from jail
SHELL,the hard largely calcareous covering of a mollusc
FINAL,the final match between the winners of all previous matches in an elimination tournament
FALSE,designed to deceive
SMALL,a garment size for a small person
BLOCK,a solid piece of something (usually having flat rectangular sides)
BRUSH,contact with something dangerous or undesirable
ALLOW,let have
HABIT,a pattern of behavior acquired through frequent repetition
TOWER,a structure taller than its diameter; can stand alone or be attached to a larger building
TOTAL,the whole amount
ABIDE,put up with something or somebody unpleasant
GRANT,the act of providing a subsidy
READY,poised for action
BLAST,a long and hard-hit fly ball
POPPY,annual or biennial or perennial herbs having showy flowers
GHOST,a mental representation of some haunting experience
ABORT,terminate before completion
ABODE,any address at which you dwell more than temporarily
FLOOD,a large flow
CIDER,a beverage made from juice pressed from apples
ORION,a constellation on the equator east of Taurus; contains Betelgeuse and Rigel